180 1 10 -10 0
110 1 40 -10 0
120 1 60 -10 0
200 1 10 -10 0
110 1 100 -10 0
100 1 140 -10 0
140 1 170 -10 0
160 1 120 -10 0
120 2 200 -10 0
100 2 150 -10 0
110 1 140 -10 0
120 1 130 -10 0
130 1 120 -10 0
140 1 60 -10 0
160 2 160 -10 0
170 2 170 -10 0
180 2 180 -10 0
180 2 190 -10 0
190 1 140 -10 0
210 2 180 -10 0
230 1 120 -10 0
250 2 150 -10 0
270 1 70 -10 0
290 1 -10 -10 0
310 1 70 -10 0
330 2 180 -10 0
350 2 200 -10 0
370 2 220 -10 0


400 3 220 -50 0
480 3 60 -50 0

520 1 40 -50 0
530 1 220 -50 0
540 1 60 -50 0
550 2 260 -50 0
560 1 60 -50 0
560 1 130 -50 0
570 2 200 -50 0
580 2 100 -10 0

710 5 50 50 -150
760 6 260 110 -150
820 5 50 200 -150
870 5 300 120 -150

900 4 160 0 0
910 4 180 0 0
910 4 140 0 0
920 4 200 0 0
920 4 120 0 0
930 4 220 0 0
930 4 100 0 0

1000 5 50 130 -150
1050 5 260 90 -150
1100 6 260 30 -150
1150 5 50 60 -150

1200 4 70 0 0
1200 4 250 0 0
1210 4 70 0 0
1210 4 250 0 0
1220 4 70 0 0
1220 4 250 0 0
1230 4 70 0 0
1230 4 250 0 0
1240 4 70 0 0
1240 4 250 0 0

1300 8 140 -50 0

1350 5 50 30 -150
1380 5 50 60 -150
1410 5 50 50 -150
1440 5 50 40 -150
1440 5 50 20 -150

1470 6 240 160 -150
1500 6 240 80 -150
1470 6 240 100 -150
1500 6 240 200 -150

1550 7 140 100 -150
1600 7 100 60 -150
1600 7 180 60 -150
1650 7 60 60 -150
1650 7 220 60 -150
1650 7 40 80 -150
1650 7 240 80 -150

1700 4 70 0 0
1700 4 250 0 0
1730 4 70 0 0
1730 4 250 0 0

1750 7 140 100 -150
1780 7 100 60 -150

1800 8 80 -50 0
1800 8 200 -50 0

1800 4 80 0 0
1820 4 200 0 0

1850 7 40 80 -150
1850 7 240 80 -150

1900 4 80 0 0
1900 4 140 0 0
1900 4 200 0 0

1870 7 180 60 -150
1910 7 60 60 -150

1900 4 200 0 0

1910 7 140 60 -150
1940 7 140 60 -150
1940 7 140 60 -150

1990 4 200 0 0

2000 4 80 0 0
2000 4 140 0 0
2000 4 200 0 0

2070 7 180 60 -150
2110 7 60 60 -150

2100 4 200 0 0

2110 7 140 60 -150
2140 7 140 60 -150
2140 7 140 60 -150

2300 19 -60 70 0

5020 12 40 -40 100
5040 12 90 -40 100
5060 12 140 -40 100
5080 12 190 -40 100
5100 12 240 -40 100
5120 13 240 280 100
5140 13 190 280 100
5160 13 140 280 100
5180 13 90 280 100
5200 13 40 280 100

5300 14 140 -10 50
5300 14 100 -10 50
5300 14 180 -10 50
5310 14 220 -10 50
5310 14 60 -10 50

5340 14 120 -10 50
5340 14 160 -10 50

5400 14 140 -10 50

5410 11 -10 80 0
5410 10 290 80 0

5470 14 240 -10 50
5470 14 40 -10 50

5490 14 80 -10 50
5490 14 140 -10 50
5490 14 200 -10 50


5550 4 -20 0 0
5560 4 -20 0 0
5570 4 -20 0 0
5580 4 -20 0 0
5590 4 -20 0 0
5600 4 -20 0 0
5610 4 -20 0 0
5620 4 -20 0 0
5630 4 -20 0 0
5640 4 -20 0 0

5580 4 -20 0 0
5590 4 -20 0 0
5600 4 -20 0 0
5610 4 -20 0 0
5620 4 -20 0 0
5630 4 -20 0 0
5640 4 -20 0 0
5640 4 100 0 0
5660 4 220 0 0
5660 4 240 0 0
5680 4 100 0 0
5690 4 120 0 0
5700 4 140 0 0
5710 4 180 0 0

5780 17 0 280 70

5750 4 300 0 0
5760 4 300 0 0
5780 4 300 0 0
5790 4 300 0 0
5820 4 300 0 0
5830 4 300 0 0
5810 4 300 0 0
5840 4 -20 0 0
5860 4 20 0 0
5660 4 40 0 0
5880 4 10 0 0
5860 4 20 0 0
5870 4 40 0 0
5900 4 80 0 0

5750 4 80 0 0
5660 4 300 0 0
5880 4 30 0 0
5790 4 140 0 0
5920 4 280 0 0
5830 4 60 0 0
5910 4 300 0 0
5840 4 -20 0 0
5660 4 20 0 0
5760 4 40 0 0
5980 4 10 0 0
5960 4 20 0 0
5870 4 40 0 0
5700 4 80 0 0

5880 16 280 280 70

5920 12 70 -100 150
5920 12 210 -100 150
5920 13 70 340 150
5920 13 210 340 150

5920 13 210 340 150
5920 13 70 340 150
5920 13 140 340 150

6000 4 120 0 0
6010 4 100 0 0
6020 4 180 0 0
6030 4 200 0 0
6040 4 140 0 0
6050 4 240 0 0

6200 14 100 -10 50
6200 14 140 -10 50
6200 14 180 -10 50

6310 11 290 80 0
6410 11 290 60 0
6200 10 -10 80 0
6270 11 290 70 0
6300 11 290 100 0
